id,name,category,license,cost_model,auth_type,production_readiness,primary_use_case,rate_limit_guidance,verified_in_2026
mcp-pro-13,ChromaDB Embedded Vector Store,Vector DB & Memory,Apache-2.0,Free / Open-Source,Local File / API Key,High,Serverless local vector store with automatic chunking and cosine similarity retrieval.,Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-14,Qdrant Vector Database MCP,Vector DB & Memory,Apache-2.0,Free Tier / Managed,API Key,High,High-performance vector search engine with payload filtering for long-term memory.,Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-15,Pinecone Serverless MCP,Vector DB & Memory,Proprietary,Usage-based ($0.05/hrCU),API Key,High,Fully managed cloud vector search with multi-tenant namespaces.,Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-16,Stripe Monetization & Invoicing MCP,Billing & Monetization,Proprietary,2.9% + $0.30 per tx,Secret Key (Restricted),High,"Autonomous invoice generation, subscription management, customer checkout links.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-17,LemonSqueezy Merchant of Record MCP,Billing & Tax,Proprietary,5% + $0.50 per tx,API Key,High,"Global tax compliance, digital software fulfillment, license key generation.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-18,Resend Transactional Email MCP,Communications,Proprietary,"Free 3,000 emails/mo",API Key,High,"Modern email delivery API for notifications, customer onboarding, and report delivery.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-19,Twilio SMS & WhatsApp Dispatcher MCP,Communications,Proprietary,Usage-based ($0.0079/msg),Account SID + Token,High,"Urgent SMS notifications, two-factor alerts, automated WhatsApp outreach.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-20,WeasyPrint PDF Document Engine MCP,Document Generation,BSD-3-Clause,Free / Open-Source,Local CLI / Python,High,"Pixel-perfect HTML/CSS to PDF compiler for invoices, certificates, and whitepapers.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-21,Python-PPTX Slides Generator MCP,Presentation Automation,MIT,Free / Open-Source,Local Python API,High,"Programmatic generation of executive presentations, pitch decks, and lecture slides.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-22,Notion Workspace MCP,Productivity & CMS,Proprietary,Free API,Internal Integration Token,High,"Reading and syncing knowledge bases, documentation pages, and customer CRM databases.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-23,Slack Webhook & Bot MCP,Internal Comms,Proprietary,Free API,Bot Token (xoxb),High,"Real-time team notifications, interactive approval buttons, status alerts.",Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-24,Docker Engine Management MCP,Infrastructure,Apache-2.0,Self-Hosted / $0,Unix Socket / TLS,High,Spawning isolated sandbox containers for dynamic agent code execution.,Varies by tier; local instances have no artificial rate limit.,True
mcp-pro-25,HashiCorp Vault Secrets MCP,Security & Vault,MPL-2.0,Free / Enterprise,AppRole / Token,High,"Centralized secret storage, automated credential rotation, fine-grained access control.",Varies by tier; local instances have no artificial rate limit.,True
